,cell_i,cell_j,hour,demand
199,0,35,16,0.00530664
200,0,35,18,0.02007456
201,0,35,19,0.03760656
202,0,35,20,0.01823904
203,0,35,21,0.02862696
204,0,35,22,0.0078228
205,0,36,4,0.01062456
206,0,36,5,0.01030416
207,0,36,10,0.04229376
208,0,36,12,0.03706344
209,0,36,14,0.01345848
210,0,36,16,0.02122656
211,0,36,17,0.00254448
212,0,36,18,0.01254672
213,0,36,19,0.0300852
214,0,36,20,0.00521112
215,0,36,21,0.03903672
216,0,36,22,0.01825344
217,0,37,14,0.0026916
218,0,37,21,0.00260256
219,0,37,22,0.0026076
220,0,40,10,0.06079704
221,0,40,16,0.06367968
222,0,41,9,0.01243992
223,0,41,10,0.03700704
224,0,41,12,0.01058952
225,0,41,14,0.01345848
226,0,41,16,0.06367968
227,0,41,17,0.03307872
228,0,42,9,0.01243992
229,0,42,12,0.01323696
230,0,42,14,0.01345848
231,0,42,17,0.01017816
232,0,43,1,0.0231936
233,0,43,5,0.07006776
234,0,43,8,0.01678224
235,0,43,9,0.02487984
236,0,43,10,0.06608376
237,0,43,11,0.12695376
238,0,43,12,0.03971064
239,0,43,13,0.02535936
240,0,43,14,0.03230016
241,0,43,15,0.04141632
242,0,43,16,0.07163952
243,0,43,17,0.04580136
244,0,43,18,0.07527984
245,0,43,19,0.03760656
246,0,43,20,0.06253392
247,0,44,10,0.04758024
248,0,45,10,0.10573416
249,0,50,11,0.03241368
250,0,50,12,0.02647392
251,0,55,11,0.01080456
252,0,55,12,0.00794208
253,0,55,13,0.01127088
254,0,55,15,0.00517704
255,0,55,16,0.00530664
256,0,56,11,0.03511488
257,0,56,12,0.03176856
258,0,56,13,0.03381264
259,0,56,14,0.03499176
260,0,56,15,0.0258852
261,0,56,16,0.03979968
262,0,56,17,0.00508896
263,0,57,0,0.37933728
264,0,57,1,0.30924696
265,0,57,2,0.423588
266,0,57,3,0.4741956
267,0,57,4,0.50360856
268,0,57,5,0.31118304
269,0,57,6,0.24346848
270,0,57,7,0.1859208
271,0,57,8,0.12946248
272,0,57,9,0.26621448
273,0,57,10,0.47844696
274,0,57,11,0.48620568
275,0,57,12,0.10589544
276,0,57,13,0.32967216
277,0,57,14,0.49526784
278,0,57,15,0.53841144
279,0,57,16,0.34227816
280,0,57,17,0.21119496
281,0,57,18,0.30362832
282,0,57,19,0.1629612
283,0,57,20,0.22929096
284,0,57,21,0.45542856
285,0,57,22,0.47458728
286,0,57,23,0.55562208
287,0,58,8,0.00958992
288,0,58,9,0.007464
289,0,58,10,0.0396504
290,0,58,11,0.02701152
291,0,58,12,0.01058952
292,0,58,13,0.00845304
293,0,58,14,0.00807504
294,0,59,12,0.01058952
295,0,59,13,0.01127088
296,0,59,16,0.0026532
297,0,60,12,0.0158844
298,0,60,13,0.01690632
299,0,60,14,0.01615008
300,0,60,16,0.0026532
301,0,61,11,0.0054024
302,0,61,12,0.0158844
303,0,61,13,0.02254176
304,0,61,14,0.01345848
305,0,61,16,0.00530664
306,0,62,11,0.03781608
307,0,62,13,0.03944784
308,0,62,14,0.00807504
309,0,62,16,0.01591992
310,0,63,10,0.06872712
311,0,63,11,0.01080456
312,0,63,12,0.04235808
313,0,63,13,0.01127088
314,0,63,14,0.09959184
315,0,63,15,0.0543588
316,0,63,16,0.01061328
317,0,63,17,0.02290056
318,0,63,18,0.03262128
319,0,63,19,0.04262064
320,0,63,20,0.01302792
321,0,63,21,0.0182172
322,1,0,2,0.0122424
323,1,0,4,0.02337432
324,1,0,7,0.00656184
325,1,0,8,0.0215772
326,1,0,9,0.014928
327,1,0,11,0.01890792
328,1,0,12,0.02647392
329,1,0,13,0.00845304
330,1,0,14,0.02960832
331,1,0,15,0.05953584
332,1,0,16,0.05041296
333,1,0,18,0.01756536
334,1,0,19,0.0401136
335,1,0,20,0.01042224
336,1,0,21,0.00260256
337,1,0,22,0.01825344
338,1,0,23,0.03813096
339,1,8,9,0.01741584
340,1,8,16,0.01326648
341,1,17,13,0.01127088
342,1,17,16,0.02122656
343,1,17,17,0.00508896
344,1,17,19,0.01504248
345,1,17,20,0.0078168
346,1,17,22,0.02607624
347,1,19,1,0.01546224
348,1,19,5,0.00824328
349,1,19,10,0.00793008
350,1,19,11,0.01620696
351,1,19,12,0.01323696
352,1,19,13,0.01408848
353,1,19,15,0.00776544
354,1,19,17,0.03053424
355,1,19,18,0.01003728
356,1,19,19,0.0200568
357,1,19,21,0.00780744
358,1,19,23,0.01634184
359,1,20,1,0.005154
360,1,20,10,0.00264336
361,1,20,11,0.0027012
362,1,20,15,0.0025884
363,1,20,17,0.00508896
364,1,20,18,0.01254672
365,1,20,19,0.00501408
366,1,20,20,0.01302792
367,1,20,21,0.00260256
368,1,20,23,0.00544728
369,1,22,2,0.04407264
370,1,22,7,0.02187312
371,1,22,8,0.02637192
372,1,22,9,0.08210352
373,1,22,10,0.07401384
374,1,22,11,0.07833312
375,1,22,13,0.0028176
376,1,22,14,0.03768336
377,1,22,16,0.05837304
378,1,22,17,0.03307872
379,1,22,18,0.02760264
380,1,22,19,0.00752136
381,1,22,20,0.07035072
382,1,22,21,0.09108576
383,1,22,22,0.03911424
384,1,23,1,0.01030824
385,1,23,2,0.01469088
386,1,23,7,0.0174984
387,1,23,9,0.10947144
388,1,23,10,0.0132168
389,1,23,11,0.10534464
390,1,23,12,0.07412664
391,1,23,13,0.0281772
392,1,23,15,0.00776544
393,1,23,16,0.0530664
394,1,23,17,0.02290056
395,1,23,18,0.022584
396,1,23,19,0.07521288
397,1,23,20,0.03647808
398,1,23,21,0.07026624
399,1,23,22,0.0026076
400,1,24,8,0.0023976
401,1,24,9,0.00995184
402,1,24,11,0.01350576
403,1,24,16,0.01326648
404,1,24,17,0.01017816
405,1,24,22,0.0052152
406,1,24,23,0.00272352
407,1,25,3,0.01323336
408,1,25,8,0.0023976
409,1,25,9,0.007464
410,1,25,11,0.02431032
411,1,25,16,0.03714648
412,1,25,17,0.01526712
413,1,25,18,0.01254672
414,1,25,19,0.02256384
415,1,25,20,0.01302792
416,1,25,22,0.0052152
417,1,27,10,0.00793008
418,1,27,12,0.00529488
419,1,27,20,0.0078168
420,1,28,0,0.02690328
421,1,28,1,0.03865584
422,1,28,2,0.02693328
423,1,28,3,0.01102776
424,1,28,9,0.09454344
425,1,28,10,0.01850352
426,1,28,11,0.04051704
427,1,28,12,0.0158844
428,1,28,13,0.03944784
429,1,28,14,0.06190848
430,1,28,15,0.09318648
431,1,28,16,0.1061328
432,1,28,17,0.03053424
433,1,28,18,0.01505592
434,1,28,19,0.04512768
435,1,28,20,0.1328844
436,1,28,21,0.0884832
437,1,28,22,0.03389904
438,1,28,23,0.08443272
439,1,33,2,0.0122424
440,1,33,9,0.01741584
441,1,33,14,0.00538344
442,1,33,17,0.01272264
443,1,33,18,0.00250944
444,1,33,20,0.02866128
445,1,33,21,0.01561464
446,1,34,1,0.01288536
447,1,34,2,0.01958784
448,1,34,20,0.01563336
449,1,34,21,0.01561464
450,1,35,20,0.00260568
451,1,36,5,0.00412152
452,1,36,10,0.0264336
453,1,36,16,0.05041296
454,1,36,17,0.02798976
455,1,36,18,0.01254672
456,1,36,19,0.0100284
457,1,37,4,0.00637488
458,1,37,10,0.01057344
459,1,37,12,0.02912112
460,1,37,14,0.00807504
461,1,37,17,0.01272264
462,1,37,19,0.0100284
463,1,37,21,0.0182172
464,1,37,22,0.0104304
465,1,41,9,0.014928
466,1,41,10,0.01850352
467,1,41,12,0.01058952
468,1,41,14,0.01076664
469,1,41,17,0.02798976
470,1,42,10,0.01586016
471,1,42,12,0.0158844
472,1,42,13,0.00845304
473,1,42,16,0.00795984
474,1,42,17,0.00763344
475,1,43,1,0.01288536
476,1,43,5,0.00824328
477,1,43,8,0.0191796
478,1,43,9,0.04478376
479,1,43,10,0.08458728
480,1,43,11,0.03511488
481,1,43,12,0.04500552
482,1,43,13,0.01408848
483,1,43,14,0.02422512
484,1,43,15,0.03882768
485,1,43,16,0.03449304
486,1,43,17,0.03307872
487,1,43,18,0.04265856
488,1,43,20,0.07295616
489,1,43,21,0.00520488
490,1,44,8,0.00719232
491,1,44,9,0.007464
492,1,44,10,0.0132168
493,1,44,12,0.04235808
494,1,44,14,0.00538344
495,1,44,15,0.00776544
496,1,44,17,0.0178116
497,1,44,20,0.0078168
498,1,45,9,0.02487984
499,1,45,10,0.04493712
500,1,48,11,0.01620696
501,1,48,12,0.0185316
502,1,49,11,0.02431032
503,1,49,12,0.0158844
504,1,50,11,0.03781608
505,1,50,12,0.03706344
506,1,55,11,0.04862064
507,1,55,12,0.02647392
508,1,55,13,0.01127088
509,1,55,14,0.1292004
510,1,55,15,0.01553112
511,1,55,16,0.04245312
512,1,55,18,0.24591384
513,1,55,19,0.0701988
514,1,58,8,0.0407568
515,1,58,9,0.04478376
516,1,58,10,0.25904856
517,1,58,11,0.12695376
518,1,58,12,0.01323696
519,1,58,13,0.0929844
520,1,58,14,0.11574192
521,1,58,21,0.0182172
522,1,58,22,0.03389904
523,1,59,12,0.00794208
524,1,59,13,0.00845304
525,1,59,14,0.00538344
526,1,59,16,0.00530664
527,2,0,2,0.00244848
528,2,0,4,0.0191244
529,2,0,8,0.02637192
530,2,0,10,0.02379024
531,2,0,12,0.02912112
532,2,0,14,0.05652504
533,2,0,15,0.0284736
534,2,0,16,0.03449304
535,2,0,19,0.0601704
536,2,0,21,0.02862696
537,2,0,22,0.03129144
538,2,0,23,0.02995992
539,2,1,2,0.01958784
540,2,1,4,0.06799776
541,2,1,7,0.0087492
542,2,1,8,0.0191796
543,2,1,9,0.01990392
544,2,1,10,0.01057344
545,2,1,11,0.02431032
546,2,1,12,0.02382648
547,2,1,13,0.01127088
548,2,1,14,0.05383344
549,2,1,15,0.06730152
550,2,1,16,0.0530664
551,2,1,17,0.00763344
552,2,1,18,0.02007456
553,2,1,19,0.01754976
554,2,1,20,0.03647808
555,2,1,21,0.00780744
556,2,1,22,0.03911424
557,2,1,23,0.04357824
558,2,8,9,0.007464
559,2,8,16,0.00795984
560,2,9,9,0.00248808
561,2,9,16,0.0026532
562,2,17,13,0.0028176
563,2,17,16,0.00530664
564,2,17,19,0.06267744
565,2,17,20,0.00260568
566,2,17,22,0.0052152
567,2,18,13,0.01127088
568,2,18,16,0.01857312
569,2,18,17,0.00763344
570,2,18,19,0.01253544
571,2,18,20,0.0078168
572,2,18,22,0.01564584
573,2,19,18,0.00501864
574,2,19,20,0.00521112
575,2,20,1,0.01803936
576,2,20,5,0.00824328
577,2,20,10,0.00528672
578,2,20,11,0.01890792
579,2,20,12,0.0185316
580,2,20,13,0.0028176
581,2,20,14,0.00538344
582,2,20,15,0.00776544
583,2,20,17,0.0356232
584,2,20,18,0.02760264
585,2,20,19,0.02507088
586,2,20,20,0.01042224
587,2,20,21,0.00780744
588,2,20,23,0.01361808
589,2,24,3,0.0066168
590,2,24,9,0.007464
591,2,24,10,0.00528672
592,2,24,11,0.00810336
593,2,24,19,0.00752136
594,2,24,20,0.00521112
595,2,24,22,0.0026076
596,2,25,3,0.0066168
597,2,25,9,0.014928
598,2,25,10,0.0634404
599,2,25,11,0.0513216
600,2,25,15,0.0025884
601,2,25,16,0.0026532
602,2,25,19,0.02757816
603,2,25,20,0.0078168
604,2,25,21,0.00260256
605,2,25,22,0.0078228
606,2,25,23,0.00272352
607,2,26,3,0.00882216
608,2,26,9,0.02239176
609,2,26,10,0.00793008
610,2,26,15,0.0025884
611,2,26,16,0.01326648
612,2,26,17,0.00763344
613,2,26,21,0.00780744
614,2,26,23,0.0081708
615,2,27,3,0.00882216
616,2,27,9,0.02985576
617,2,27,10,0.0132168
618,2,27,16,0.01591992
619,2,27,17,0.00763344
620,2,27,21,0.07286856
621,2,27,23,0.0081708
622,2,28,0,0.02152272
623,2,28,1,0.005154
624,2,28,2,0.01469088
625,2,28,3,0.0066168
626,2,28,9,0.04478376
627,2,28,10,0.05286696
628,2,28,11,0.02701152
629,2,28,12,0.06618456
630,2,28,13,0.0309948
631,2,28,14,0.03768336
632,2,28,15,0.03365064
633,2,28,16,0.03449304
634,2,28,17,0.08142456
635,2,28,18,0.00752808
636,2,28,19,0.06518448
637,2,28,20,0.05211168
638,2,28,21,0.14833968
639,2,28,22,0.02607624
640,2,28,23,0.03268368
641,2,29,0,0.01076136
642,2,29,1,0.00257712
643,2,29,2,0.00734544
644,2,29,9,0.02985576
645,2,29,10,0.00528672
646,2,29,11,0.01890792
647,2,29,12,0.00264744
648,2,29,13,0.01127088
649,2,29,14,0.01615008
650,2,29,15,0.01294248
651,2,29,16,0.01591992
652,2,29,17,0.01017816
653,2,29,18,0.00250944
654,2,29,19,0.0100284
655,2,29,20,0.00521112
656,2,29,21,0.00780744
657,2,29,22,0.0078228
658,2,29,23,0.01089456
659,2,31,9,0.00497592
660,2,31,16,0.03979968
661,2,31,17,0.02035608
662,2,31,22,0.0104304
663,2,31,23,0.0081708
664,2,33,2,0.03917568
665,2,33,9,0.01741584
666,2,33,17,0.01526712
667,2,33,20,0.02345016
668,2,33,21,0.0182172
669,2,35,20,0.099012
670,2,37,4,0.00637488
671,2,37,10,0.0264336
672,2,37,12,0.0185316
673,2,37,14,0.00538344
674,2,37,17,0.01017816
675,2,37,18,0.05269584
676,2,37,19,0.02256384
677,2,37,21,0.01301232
678,2,37,22,0.0078228
679,2,38,4,0.002124
680,2,38,10,0.00264336
681,2,38,12,0.00794208
682,2,38,14,0.0026916
683,2,38,17,0.00254448
684,2,38,19,0.00250704
685,2,38,21,0.00780744
686,2,38,22,0.0052152
687,2,39,10,0.02114688
688,2,39,14,0.01345848
689,2,39,17,0.00254448
690,2,39,18,0.00752808
691,2,39,21,0.00520488
692,2,40,10,0.00528672
693,2,40,14,0.0026916
694,2,40,15,0.05953584
695,2,40,16,0.01326648
696,2,40,17,0.00254448
697,2,40,21,0.00520488
698,2,41,9,0.03731976
699,2,41,10,0.02114688
700,2,41,12,0.0158844
701,2,41,13,0.00563544
702,2,41,14,0.02153328
703,2,41,16,0.04245312
704,2,41,17,0.07888008
705,2,42,1,0.00773112
706,2,42,6,0.00603648
707,2,42,9,0.03234384
708,2,42,10,0.03700704
709,2,42,11,0.06752856
710,2,42,12,0.04765296
711,2,42,13,0.04790112
712,2,42,14,0.05383344
713,2,42,15,0.01035408
714,2,42,16,0.03183984
715,2,42,17,0.03307872
716,2,42,18,0.01003728
717,2,42,20,0.04429488
718,2,42,21,0.01561464
719,2,43,1,0.00257712
720,2,43,6,0.0020112
721,2,43,8,0.0023976
722,2,43,9,0.00497592
723,2,43,10,0.00528672
724,2,43,11,0.00810336
725,2,43,12,0.00529488
726,2,43,13,0.00563544
727,2,43,14,0.00807504
728,2,43,15,0.00517704
729,2,43,16,0.01061328
730,2,43,17,0.00254448
731,2,43,18,0.01003728
732,2,43,20,0.02084472
733,2,43,21,0.00260256
734,2,44,8,0.00958992
735,2,44,9,0.00995184
736,2,44,10,0.02379024
737,2,44,11,0.0027012
738,2,44,12,0.01323696
739,2,44,14,0.05921688
740,2,44,15,0.06212448
741,2,44,17,0.0407124
742,2,44,20,0.01042224
743,2,45,8,0.01438464
744,2,45,9,0.01741584
745,2,45,10,0.04493712
746,2,45,11,0.01620696
747,2,45,12,0.0158844
748,2,45,14,0.01615008
749,2,45,15,0.01294248
750,2,45,17,0.03816768
751,2,45,21,0.01561464
752,2,46,8,0.01198728
753,2,46,11,0.01620696
754,2,46,12,0.0158844
755,2,46,14,0.01345848
756,2,46,15,0.01553112
757,2,46,17,0.03307872
758,2,46,21,0.01561464
759,2,47,8,0.01438464
760,2,47,11,0.01620696
761,2,47,12,0.01323696
762,2,47,14,0.01345848
763,2,47,15,0.01294248
764,2,47,17,0.02544528
765,2,47,21,0.01561464
766,2,48,8,0.01438464
767,2,48,11,0.01080456
768,2,48,12,0.01323696
769,2,48,14,0.01884168
770,2,48,15,0.01811952
771,2,48,17,0.0356232
772,2,48,21,0.01561464
773,2,49,8,0.00479496
774,2,49,14,0.00538344
775,2,49,15,0.00517704
776,2,49,17,0.01272264
777,2,49,21,0.00780744
778,2,57,13,0.00563544
779,2,57,14,0.0026916
780,2,57,21,0.00520488
781,2,58,13,0.02254176
782,2,58,14,0.01884168
783,2,58,21,0.0182172
784,3,0,19,0.01253544
785,3,1,2,0.01469088
786,3,1,4,0.027624
787,3,1,7,0.00656184
788,3,1,8,0.01438464
789,3,1,9,0.014928
790,3,1,10,0.00793008
791,3,1,11,0.04591944
792,3,1,12,0.07942152
793,3,1,13,0.00563544
794,3,1,14,0.0403752
795,3,1,15,0.02070816
796,3,1,16,0.01061328
797,3,1,17,0.01017816
798,3,1,18,0.05269584
799,3,1,19,0.01504248
800,3,1,20,0.01302792
801,3,1,21,0.13532736
802,3,1,22,0.02086104
803,3,1,23,0.01906536
804,3,2,2,0.00734544
805,3,2,4,0.00637488
806,3,2,7,0.0021864
807,3,2,8,0.00479496
808,3,2,9,0.00497592
809,3,2,10,0.00264336
810,3,2,11,0.0027012
811,3,2,12,0.00794208
812,3,2,13,0.0028176
813,3,2,14,0.0430668
814,3,2,15,0.00517704
815,3,2,16,0.0026532
816,3,2,17,0.00254448
817,3,2,18,0.00501864
818,3,2,19,0.00501408
819,3,2,20,0.00521112
820,3,2,21,0.01040976
821,3,2,22,0.0052152
822,3,2,23,0.00544728
823,3,9,9,0.00995184
824,3,9,16,0.01061328
825,3,18,13,0.03944784
826,3,18,16,0.01326648
827,3,18,17,0.01272264
828,3,18,19,0.01504248
829,3,18,20,0.0078168
830,3,18,22,0.01825344
831,3,19,20,0.01302792
832,3,20,1,0.01546224
833,3,20,5,0.01030416
834,3,20,10,0.01057344
835,3,20,11,0.02160912
836,3,20,12,0.0185316
837,3,20,14,0.00807504
838,3,20,15,0.00776544
839,3,20,17,0.03307872
840,3,20,18,0.01254672
841,3,20,19,0.03259224
842,3,20,20,0.01042224
843,3,20,21,0.07286856
844,3,20,23,0.01906536
845,3,23,3,0.00882216
846,3,23,9,0.00497592
847,3,23,11,0.01080456
848,3,23,15,0.00517704
849,3,23,17,0.01017816
850,3,23,19,0.0100284
851,3,23,21,0.01301232
852,3,23,22,0.0052152
853,3,23,23,0.00544728
854,3,24,3,0.03749448
855,3,24,8,0.00719232
856,3,24,9,0.03483168
857,3,24,10,0.02114688
858,3,24,11,0.02701152
859,3,24,15,0.00776544
860,3,24,16,0.00530664
861,3,24,17,0.01017816
862,3,24,19,0.02256384
863,3,24,20,0.01563336
864,3,24,21,0.01561464
865,3,24,22,0.01825344
866,3,24,23,0.0081708
867,3,25,3,0.01102776
868,3,25,8,0.01198728
869,3,25,9,0.02736792
870,3,25,10,0.00793008
871,3,25,15,0.00517704
872,3,25,16,0.00795984
873,3,25,17,0.00763344
874,3,25,21,0.01040976
875,3,25,22,0.0026076
876,3,25,23,0.0081708
877,3,27,21,0.00260256
878,3,29,0,0.02959368
879,3,29,1,0.00773112
880,3,29,2,0.01958784
881,3,29,9,0.01741584
882,3,29,10,0.02379024
883,3,29,11,0.01890792
884,3,29,12,0.01323696
885,3,29,13,0.0309948
886,3,29,14,0.0430668
887,3,29,15,0.09059808
888,3,29,16,0.02122656
889,3,29,17,0.03307872
890,3,29,18,0.01505592
891,3,29,19,0.0401136
892,3,29,20,0.02345016
893,3,29,21,0.04684416
894,3,29,22,0.03129144
895,3,29,23,0.04085448
896,3,31,12,0.00794208
897,3,31,16,0.00530664
898,3,31,22,0.0026076
899,3,32,2,0.01469088
900,3,32,9,0.02985576
901,3,32,10,0.00528672
902,3,32,16,0.01591992
903,3,32,17,0.02544528
904,3,32,21,0.01301232
905,3,32,22,0.0104304
906,3,33,2,0.03917568
907,3,33,9,0.02239176
908,3,33,10,0.0502236
909,3,33,11,0.0027012
910,3,33,16,0.01857312
911,3,33,17,0.03307872
912,3,33,20,0.05471712
913,3,33,21,0.01301232
914,3,33,22,0.0078228
915,3,34,2,0.03427872
916,3,34,9,0.007464
917,3,34,10,0.0502236
918,3,34,11,0.0027012
919,3,34,16,0.01326648
920,3,34,17,0.04834584
921,3,34,21,0.00780744
922,3,34,22,0.0104304
923,3,35,9,0.00995184
924,3,35,11,0.00810336
925,3,35,16,0.01591992
926,3,35,17,0.00763344
927,3,35,21,0.01040976
928,3,35,22,0.013038
929,3,36,11,0.0027012
930,3,36,16,0.0026532
931,3,37,5,0.0020616
932,3,37,10,0.03700704
933,3,37,12,0.01323696
934,3,37,13,0.16060944
935,3,37,14,0.01076664
936,3,37,18,0.07778904
937,3,38,4,0.00424992
938,3,38,10,0.05551032
939,3,38,11,0.0027012
940,3,38,12,0.04765296
941,3,38,13,0.02535936
942,3,38,14,0.07805856
943,3,38,17,0.01526712
944,3,38,18,0.10037304
945,3,38,19,0.01504248
946,3,38,21,0.0364344
947,3,38,22,0.0052152
948,3,39,10,0.00264336
949,3,39,14,0.0026916
950,3,40,10,0.01850352
951,3,40,11,0.00810336
952,3,40,14,0.01615008
953,3,40,15,0.01294248
954,3,40,17,0.01017816
955,3,40,21,0.00520488
956,3,41,9,0.02985576
957,3,41,10,0.10837752
958,3,41,11,0.15666624
959,3,41,13,0.17469816
960,3,41,14,0.12650856
961,3,41,15,0.02329656
962,3,41,16,0.1618524
963,3,41,17,0.17811624
964,3,41,19,0.04512768
965,3,41,20,0.2553468
966,3,41,21,0.0364344
967,3,41,23,0.02451264
968,3,42,1,0.00773112
969,3,42,6,0.00603648
970,3,42,9,0.04229568
971,3,42,10,0.02907696
972,3,42,11,0.04591944
973,3,42,12,0.04500552
974,3,42,13,0.0619896
975,3,42,14,0.06460008
976,3,42,15,0.01553112
977,3,42,16,0.03449304
978,3,42,17,0.0534348
979,3,42,18,0.01505592
980,3,42,20,0.05992824
981,3,42,21,0.02081952
982,3,49,8,0.00719232
983,3,49,14,0.00807504
984,3,49,15,0.00776544
985,3,49,17,0.02035608
986,3,49,21,0.00780744
987,3,50,8,0.01438464
988,3,50,14,0.01615008
989,3,50,15,0.01553112
990,3,50,17,0.02798976
991,3,50,21,0.0182172
992,3,55,13,0.00563544
993,3,55,14,0.0026916
994,3,55,21,0.00520488
995,3,56,13,0.01408848
996,3,56,14,0.00538344
997,3,56,21,0.0182172
998,3,57,13,0.01408848
